IP HOST VPLS_CONFIGURADO VPLS_ATIVO VPLS_INATIVO
10.255.0.92 RTSA-02-SP-DTC-LV3-POI 65 56 14%
172.16.212.66 airsw-626 1 1 0%
10.255.0.125 AIRSW-642-SEBRATEL 4 3 25%
10.255.0.162 AIRSW-695 6 5 17%
172.16.68.186 airsw-723 0 0 100%
10.255.147.0 BA.SDR.CDA.SW.EX.147 64 57 11%
10.255.5.2 BA.SDR.CDA.SW.EX.2 49 47 4%
10.150.109.9 BCV-PER-01-CR-X670-001.4 14 13 7%
10.255.6.1 CE.FLA.LV3.SW.EX.1 2 2 0%
10.255.6.3 CE.FLA.SPO.SW.EX.03 11 10 9%
10.255.6.2 CE.FLA.SPO.SW.EX.2 8 8 0%
10.150.109.6 CUV-Z07-01-CR-X670-001 50 43 14%
10.150.109.8 MCL-STA-01-CR-X670-001 30 24 20%
10.150.109.4 PLO-MAG-01-CR-X670-48x-001 14 14 0%
10.255.0.113 RJ-RB1-VOZ-SW-655 2 2 0%
10.255.0.73 RJ-SCT-VOZ-SW-032 12 5 58%
10.255.4.10 RJ.RJO.ALG1.SW.EX.010 44 36 18%
10.255.4.15 RJ.RJO.ALG1.SW.EX.015 22 20 9%
10.255.4.5 RJ.RJO.ALG2.SW.EX.005 64 60 6%
10.255.4.29 RJ.RJO.ANC.SW.EX.029 26 23 12%
10.255.4.30 RJ.RJO.ARZ.SW.EX.030 24 21 12%
10.255.4.7 RJ.RJO.CIT.SW.EX.007 36 32 11%
10.255.4.21 RJ.RJO.CIV.SW.EX.021 28 27 4%
10.255.4.3 RJ.RJO.CPG.SW.EX.003 73 59 19%
10.255.4.28 RJ.RJO.DHC.SW.EX.028 33 32 3%
10.255.4.27 RJ.RJO.FLA.SW.EX.027 22 20 9%
10.255.4.31 RJ.RJO.GLB.SW.EX.001 0 0 100%
10.255.4.9 RJ.RJO.GPK.SW.EX.009 16 14 12%
10.255.4.11 RJ.RJO.LV3.SW.EX.011 47 43 9%
11.255.103.0 RJ.RJO.LZN.SW.EX.103.6 1 1 0%
10.255.4.18 RJ.RJO.MEN.SW.EX.018 18 16 11%
11.255.51.0 RJ.RJO.PDF.SW.JN.051 10 9 10%
10.255.4.8 RJ.RJO.PEN.SW.EX.008 16 15 6%
10.255.4.6 RJ.RJO.PLC.SW.EX.006 40 33 18%
10.255.4.17 RJ.RJO.PLC.SW.EX.017 15 15 0%
10.255.4.4 RJ.RJO.RB1.SW.EX.004 139 137 1%
10.255.4.14 RJ.RJO.RB1.SW.EX.014 5 5 0%
10.255.4.16 RJ.RJO.SCR.SW.EX.016 9 8 11%
172.31.100.194 RJ.RJO.SCT.SW.EX.022 0 0 100%
10.255.4.23 RJ.RJO.SCT.SW.EX.023 30 23 23%
10.255.4.1 RJ.RJO.TLP.SW.EX.001 154 152 1%
10.255.4.13 RJ.RJO.TLP.SW.EX.013 17 15 12%
10.255.4.12 RJ.RJO.TVT.SW.EX.012 60 53 12%
10.150.21.9 RTPE-01-MG-BHE-BPT 7 7 0%
10.150.49.190 RTPE-01-MG-BHE-SRA 15 15 0%
172.28.24.26 RTPE-01-RJ-RJO-TLP 8 7 12%
172.16.1.52 RTPE-01-RS-PAE-HMT 2 2 0%
172.17.45.210 RTPE-01-RS-PAE-JOA 0 0 100%
172.24.138.157 RTPE-01-SP-SPO-BRF 21 21 0%
172.24.166.6 RTPE-01-SP-SPO-VRAO 27 21 22%
172.16.62.59 RTSA-01-GTI-GVI 33 28 15%
172.22.0.98 RTSA-01-PR-CTA-LV3-POI_SW-621 7 6 14%
172.16.129.170 RTSA-01-RS-BGV-BGO-AIRSW-577 31 25 19%
172.16.181.130 RTSA-01-RS-BPR-BMP 16 14 12%
172.16.5.157 RTSA-01-RS-CAN-CSU-AIRSW-197 139 138 1%
10.255.0.148 RTSA-01-RS-CCR-CC1 25 23 8%
172.16.83.58 RTSA-01-RS-CEN-CA2 21 21 0%
172.16.248.50 RTSA-01-RS-CFD-CDI 9 8 11%
172.16.179.178 RTSA-01-RS-CHN-CHN 77 75 3%
10.255.0.109 RTSA-01-RS-CIO-CRN 12 12 0%
172.16.175.53 RTSA-01-RS-CLB-CLB 8 6 25%
172.16.143.194 RTSA-01-RS-CND-CD1 12 9 25%
10.255.0.177 RTSA-01-RS-CQI-CQI 3 3 0%
172.16.140.74 rtsa-01-rs-cza-cz2 12 12 0%
172.16.117.138 RTSA-01-RS-DDO-GM2 29 23 21%
172.17.12.58 RTSA-01-RS-DPO-DPO 8 8 0%
172.16.14.67 RTSA-01-RS-DSR-DOI 66 53 20%
172.16.153.123 RTSA-01-RS-EIO-EST 73 66 10%
172.16.46.106 RTSA-01-RS-FCA-FCU-AIRSW-106 3 3 0%
172.16.15.66 RTSA-01-RS-FRL-FAR 33 33 0%
172.16.51.130 RTSA-01-RS-GAO-GRE 10 9 10%
172.17.9.58 RTSA-01-RS-GRD-GRD 6 5 17%
172.16.165.50 RTSA-01-RS-GTI-GTI4 0 0 100%
10.255.0.101 RTSA-01-RS-HZA-HZA 6 6 0%
172.16.20.50 RTSA-01-RS-IJH-IJH_SW-186 24 21 12%
172.16.152.114 RTSA-01-RS-IJI-ISU 23 22 4%
172.17.3.58 rtsa-01-rs-jcs-jcs 11 10 9%
172.16.69.122 RTSA-01-RS-KDK-CCA-AIRSW-685 6 6 0%
172.16.142.61 RTSA-01-RS-LJO-LJO 68 45 34%
172.16.2.50 RTSA-01-RS-LVH-LVH 5 4 20%
172.16.104.122 RTSA-01-RS-MGO-MNG 24 19 21%
172.16.42.106 RTSA-01-RS-NPT-NP3-AIRSW-565 12 10 17%
172.16.40.52 RTSA-01-RS-NVP-NPS 11 7 36%
172.16.113.58 RTSA-01-RS-NVSR-NSR 61 32 48%
172.16.12.91 RTSA-01-RS-OSR-OSR 45 25 44%
172.16.8.138 RTSA-01-RS-PAE-POL 33 28 15%
172.16.172.52 RTSA-01-RS-PAE-PTS 79 74 6%
10.255.0.13 RTSA-01-RS-PAE-VOZ_SW-224 628 624 1%
172.16.22.179 RTSA-01-RS-PKA-PCA 2 2 0%
172.16.45.234 RTSA-01-RS-PLT-PEL 44 0 100%
10.255.0.40 RTSA-01-RS-PMB-PMI 44 35 20%
172.16.157.90 RTSA-01-RS-PMM-PMI 9 8 11%
172.16.0.109 RTSA-01-RS-POI-LV3-POI 87 84 3%
172.16.180.146 RTSA-01-RS-SAN-SMA 13 6 54%
10.255.0.111 RTSA-01-RS-SBY-SEB 6 6 0%
10.255.0.174 RTSA-01-RS-SEE.SPE 16 15 6%
172.16.21.115 rtsa-01-rs-sfp-ivd 0 0 100%
10.255.0.175 RTSA-01-RS-SGB-PFO 17 15 12%
172.17.16.58 RTSA-01-RS-SIA-SI2 13 9 31%
172.16.203.98 RTSA-01-RS-SIV-SIV 20 14 30%
172.17.18.90 RTSA-01-RS-SJA-SBSA 4 4 0%
10.255.0.88 RTSA-01-RS-SLV-STL 6 4 33%
172.16.213.60 RTSA-01-RS-SRO-SRO 5 5 0%
172.16.253.98 RTSA-01-RS-SUV-SND 2 2 0%
172.17.11.58 RTSA-01-RS-TEP-TEP 9 7 22%
172.16.50.68 RTSA-01-RS-TES-TEF_SW-320 8 8 0%
172.16.145.114 RTSA-01-RS-TJR-TPJ 10 8 20%
10.255.0.43 RTSA-01-RS-TMI-TMI-AIRSW-538 5 5 0%
172.17.23.58 RTSA-01-RS-TMI-TMI-AIRSW-538 5 5 0%
172.16.236.74 RTSA-01-RS-TRF-TRF 22 19 14%
172.16.222.186 RTSA-01-RS-TRI-TDI-AIRSW-684 3 2 33%
172.16.22.210 RTSA-01-RS-TUN-HMO 21 16 24%
172.16.206.58 RTSA-01-RS-UGN-ITQ 6 5 17%
172.16.92.58 RTSA-01-RS-VAA-VCA 22 19 14%
172.16.36.106 RTSA-01-RS-VAI-VEN 11 11 0%
172.16.169.154 RTSA-01-RS-VAO-MRU 13 12 8%
172.16.225.138 RTSA-01-RS-VAO-VM2 22 22 0%
172.17.14.60 RTSA-01-RS.RRS.RSL 3 3 0%
172.16.81.139 RTSA-01-RS.SCR.GAN 31 31 0%
172.16.155.194 RTSA-01-RS.SEE.SPE 16 15 6%
10.255.0.190 RTSA-01-RS.SHN.SDM 5 5 0%
172.16.205.178 RTSA-01-RS.SMA.JMS-AIRSW-552 30 25 17%
172.16.188.82 RTSA-01-RS.SMA.SMA-AIRSW-392 15 6 60%
172.16.81.154 RTSA-01-SCR-SCL 50 28 44%
10.255.3.89 RTSA-01-SP-AAS-ARS 0 0 100%
10.255.3.16 RTSA-01-SP-ARQ-ARQ 8 6 25%
10.255.3.72 RTSA-01-SP-BEP-SPS 6 5 17%
10.255.3.15 RTSA-01-SP-BRU-BRU 7 6 14%
10.255.3.14 RTSA-01-SP-BTU-BTU 2 2 0%
10.255.3.93 RTSA-01-SP-CAS-DTC-TIM 10 10 0%
10.255.3.22 RTSA-01-SP-CJR-POL 53 41 23%
10.255.3.13 RTSA-01-SP-CNH-CNH 0 0 100%
10.255.3.12 RTSA-01-SP-CPR-OSO 2 2 0%
10.255.3.60 RTSA-01-SP-DDA-DDA 62 54 13%
10.255.3.75 RTSA-01-SP-DTC-ACT-POI 0 0 100%
