10.150.109.2 VPN-IND-01-CR-X670-48x-001 43 42 0%
10.150.109.3 SW-STE-01-CR-X670-001 failure failure failure
10.150.109.4 PLO-MAG-01-CR-X670-48x-001 19 19 0%
10.150.109.5 SLA-BVT-01-CR-X670-001 failure failure failure
10.150.109.6 CUV-Z07-01-CR-X670-001 failure failure failure
10.150.109.8 rtsa-01-mg-mcl-mcl failure failure failure
10.150.109.9 BCV-PER-01-CR-X670-001.4 14 13 0%
10.150.21.9 RTPE-01-MG-BHE-BPT 7 7 0%
10.150.247.251 BHE-PAM-01-RE-CR-X670-100 no_result no_result no_result
10.150.247.252 SW-BHE-BPT-01-RE-CR-X670-100 no_result no_result no_result
10.150.247.253 SW-STE-01-RE-CR-X670-100 no_result no_result no_result
10.150.247.254 SW-SRA-01-RE-CR-X670-100 no_result no_result no_result
10.255.0.125 AIRSW-642-SEBRATEL 4 3 0%
10.255.0.162 RTSA-01-MG-BHE-SER-VOZ(AIRSW-695) 7 6 0%
10.255.0.23 RTSA-01-RS-PAE-RNP-POI-SW525 61 59 0%
10.255.0.52 RTSA-01-SP-SPO-BRF-VOZ_SW-021 8 5 0%
10.255.0.73 RJ-SCT-VOZ-SW-032 11 5 0%
10.255.0.92 RTSA-02-SP-DTC-LV3-POI 59 45 0%
10.255.0.98 SWAC-01-RS-VAO-VM2 no_result no_result no_result
10.255.146.0 BA.SDR.INT.SW.EX.146 2 2 0%
10.255.147.0 BA.SDR.CDA.SW.EX.147 62 55 0%
10.255.3.1 RTSA-01-SP-SPO-MOO 24 21 0%
10.255.3.100 SWAC-01-SP-LRA-NML 8 7 0%
10.255.3.102 SWAC-01-SP-AAS-ARS 2 2 0%
10.255.3.104 RTSA-01-SP-DTC-ODT-POI 36 31 0%
10.255.3.105 RTSA-01-SP-POI-OI-POI 51 49 0%
10.255.3.107 RTSA-01-SP-IAQ-ITQ 1 1 0%
10.255.3.109 RTSA-01-SP-SJV-SJV 11 10 0%
